RAZAO;INFORMAL;RAMOATIVID;TIPOEMP;UNIDADE;TEL1;TELC2;FAX;NCHECKOUT;ENDEMP;BAIRROEMP;CEP;CIDADEEMP;UFEMP;Origem 
Vasta Gerenciamento Consultoria e Com Ltda;VASTA;Prestação Serviços Consultoria;Matriz;;19-3867-4004;;19-3867-4025;0;Trav Dn Ermelinda, 154;Centro;13820-000;Jaguariuna;SP;MKR
Suco Citrico Cutrale Ltda;CUTRALE;Industria Alimentícia;Matriz;;19-3866-1011;;19-3866-1699;0;Caixa Postal 19;Sao Joao da Figueira;13835-970;Conchal;SP;MKR
Sonae Distribuicao Brasil S/A;BIG MOGI GUACU JD ALMIRA;Varejo Alimenticio;Filial;113;19-3831-9950;;19-3831-9950;32;Av dos Trabalhadores, 3400;Jd Almira;13840-195;Mogi Guacu;SP;MKR
International Paper do Brasil Ltda;INTERNATIONAL PAPER;Industria Outros;Matriz;;19-3861-8911;;;0;Rod SP 340, Km 171;;13840-970;Mogi Guacu;SP;MKR
Corn Products Brasil Ingredientes Indl Ltda;CORN PRODUCTS;Industria Alimentícia;Filial;;19-3861-9638;;19-3861-9635;0;R Paula Bueno, 2935;Jd Alvorada;13841-900;Mogi Guacu;SP;MKR
Supermercado Agricola Lopes Ltda;SM LOPES;Varejo Alimenticio;Matriz;;19-3861-0096;;;3;Av Bandeirantes, 1472;Santo Antonio;13845-400;Mogi Guacu;SP;MKR
Supermercado Kobayashi Ltda;SUPERMERCADO KOBAYASHI;Varejo Alimenticio;Matriz;;19 3868-9306;;19;1;R Joao Galhardo, 355;Centro;13857000;Estiva Gerbi;SP;MKR
Frigorifico Vale do Prata Ltda;FRIGORIFICO VALE DO PRATA;Industria da Carne;Matriz;;19-3623-3678;;19-3623-3678;0;Caixa Postal 294;Centro;13870-000;S J da Boa Vista;SP;MKR
Gregorio & Cia Ltda;SM SAM JOANENSE;Varejo Alimenticio;Matriz;;19-3622-3305;;19-3622-3305;4;R Ademar de Barros, 590;Centro;13870-000;S J da Boa Vista;SP;MKR
Comercial de Tintas Vasconcellos Ltda;CASA DAS TINTAS;Varejo Outros;Matriz;;02119   623-6089;;02119;0;R Gov Ademar de Barros, 552;Centro;13870080;S J da Boa Vista;SP;MKR
Coml de Secos e Molhados Bora Sentine Ltda;SM BORATO;Varejo Alimenticio;Matriz;;19-3633-4192;;19-3633-4192;3;Av Dr Luiz Gambeta Sarmento, 729;Vl Conrado;13871-000;S J da Boa Vista;SP;MKR
Comercial De Secos E Molhados Bona Centini ltda;SM BONA CENTINI;Atacado Alimentos;Matriz;;19-3631-4192;;;4;Av Doutor Luis Gabeta Sarmento;Santo Antonio;13871-258;Sao Paulo;SP;MKR
Comercial Delta Ponto Certo Ltda;SM SEMPRE VALE;Varejo Alimenticio;Filial;08;19-3409-5900;;19-3622-3947;6;R Manoel da Costa Patrao, 20;Vl Fleming;13876-039;S J da Boa Vista;SP;MKR
Irmaos Ferri Ltda;SM ESTRELA;Varejo Alimenticio;Filial;;19-3641-1068;;19-3641-1068;5;R Cel Lucio, 404;Centro;13880000;Vargem Grande do Sul;SP;MKR
Superm. Uniao Vargem Grande Sul Ltda;SM UNIAO;Varejo Alimenticio;Filial;;19-641-4525;;19-641-4525;5;Av Regato, 195;Centro;13880000;Vargem Grande do Sul;SP;MKR
Supermercado Varsul Ltda;SUPERMERCADO VARSUL;Varejo Alimenticio;Matriz;;19  641-4689;;19;0;R Rafael Moreno, 281;Pq Industrial;13880-000;Vargem Grande;SP;MKR
Comercial Panegassi Ltda;COMERCIAL PANEGASSI;Varejo Alimenticio;Matriz;;19   3807-2076;;19   3807-2076;1;R Cap Alceu Vieira, 218;Centro;13902070;Amparo;SP;MKR
Terin Supermercados Ltda;TERIN SM;Varejo Alimenticio;Matriz;;19   3807-1166;;;0;R Henrique Rebieri, 105;Centro;13908-040;Arcadas;SP;MKR
Rebieri Gelatinas Ltda;REBIERI GELATINAS;Industria Alimentícia;Matriz;;19-3907-9000;;19-3907-9015;0;R Santo Agostinho, 231;Distrito de Arcadas;13908-900;Amparo;SP;MKR
N D Queiroz Ltda;MERCADO VILA NOVA;Varejo Alimenticio;Matriz;;19 -3893-1733;;;0;R Angelo Ferrari, 59;Cid Nova;13920000;Pedreira;SP;MKR
AB Bueno Cia Ltda EPP;SM BONETINHO;Varejo Alimenticio;Matriz;;19-3893-2284;;19-3893-2284;6;R Antonio Pedro, 744;Centro;13920-000;Pedreira;SP;MKR
Bisfarma Industria de Embalagem Ltda;BISFARMA;Industria Outros;Matriz;;19-3893-3544;;;0;Av Tiradentes, 382;Jd Triunfo;13920-000;Pedreira;SP;MKR
Dia Brasil Sociedade Ltda;DIA BRASIL;Varejo Alimenticio;Filial;29;19-3893-6066;;;0;R Dr Silvio de Aguiar Maya, Lj 2;;13920-000;Pedreira;SP;MKR
Ivanilde P Araujo Cia Ltda;PANIFICADORA PAO FRANCES;Varejo Alimenticio;Matriz;;19  3893-3550;;19  3893-2108;0;R Pres Getulio Vargas, 266;Vl Monte Alegre;13920-000;Pedreira;SP;MKR
J I Bertevello & Cia Ltda EPP;J I BERTEVELLO;Varejo Outros;Matriz;;19-3893-283;;19-3893-1920;0;Av Dr Sylvio de Aguiar Maya, 536;Centro;13920-000;Pedreira;SP;MKR
Comercial ARG Marson Ltda;SUPERMERCADO COLORADO II;Varejo Alimenticio;Filial;;19-3892-2765;;19-3892-2765;9;R 7 de Setembro, 327;Centro;13930-000;Serra Negra;SP;MKR
Persio Fioravante & Cia Ltda;SUPERMERCADO AVENIDA;Varejo Alimenticio;Matriz;;19 3824-1268;;;0;Av Nacoes Unidas, 676;Jd Sao Francisco;13940000;Aguas de Lindoia;SP;MKR
Empresa de Mineracao Mantovani Ltda;MANTOVANI;Industria Outros;Matriz;;19-3898-1323;;;0;Av Benedito Severino, 560;Centro;13950-000;Lindoia;SP;MKR
Pedro Otacilio Orru EPP;SUPERMERCADO ORRU LINDËIA;Varejo Alimenticio;Matriz;;02119 3898-1104;;;0;Av Trinta e Um de Marþo, 651;Centro;13950-000;Lindoia;SP;MKR
Miguel Angelo Toledo Cia Ltda;SM SAO JOAO;Varejo Alimenticio;Filial;;19   3895-3001;;19;4;R Dr Luis Pizza, 204;Centro;13960-000;Socorro;SP;MKR
Supermercado Tuinzao Ltda;SUPERMERCADO TUINZAO;Varejo Alimenticio;Matriz;;19  3895-3444;;;7;Av XV de Agosto, 930;Jd Golo;13960-000;Socorro;SP;MKR
Mini Mercado Uniao Ltda;MINI MERCADO UNIAO;Varejo Alimenticio;Matriz;;19-3863-1044;;19;1;R Espanha, 415;Cubatao;13972500;Itapira;SP;MKR
Mercearia Paraiso de Itapira Ltda ME;MERCEARIA PARAISO;Varejo Alimenticio;Matriz;;19 3843-1465;;;0;Av Brasil, 2750;Paraiso;13973195;Itapira;SP;MKR
Fiacao Sao Charbel Ltda;FIACAO SAO CHARBEL;Industria Outros;Matriz;;19-3863-6695;;19-3863-6695;0;R 9 de Julho, 79;Jd Eleoterio;13986-000;Itapira;SP;MKR
Supermercado Beazoto Ltda;SM BEAZOTO;Varejo Alimenticio;Matriz;;19   3651-5799;;19    3651-5799;0;R Ver Estevo de Filippi, 65;Pq da Figueira;13990000;Espirito Santo do Pinhal;SP;MKR
Supermercado Liceras Ltda;SUPERMERCADO LICERAS;Varejo Alimenticio;Matriz;;19  3651-3202;;19  3661-2137;4;R Benedita Bueno, 10;Jd Sta Therezinha;13990000;Espirito Santo do Pinhal;SP;MKR
Supermercado Biazoto Ltda;SM BIAZOTO;Atacado Alimentos;Matriz;;19-3651-2848;;19-3651-5799;0;R Ver Estevo de Felipe, 65;Pq da Figueira;13990-000;Espirito Santo do Pinhal;SP;MKR
Servico Social do ComÚrcio;SESC RIBEIRAO PRETO;Prestação Serviços Clubes;Filial;RibeirÒo Preto;16   610-0141;;;0;R Tibirica, 50;Centro;14010-090;Ribeirao Preto;SP;MKR
Supermercado Gimenes Ltda;SM GIMENES;Varejo Alimenticio;Filial;17;16-625-1665;;16-625-1998;16;R Sao Jose, 933;Centro;14010-160;Ribeirao Preto;SP;MKR
C & C Casa & Construcao Ltda;C & C;Varejo Outros;Filial;Ribeirao Preto;16-620-4464;;;0;Av Cel Fernando F leite, 1540 Lj 147;Jd California;14026-020;Ribeirao Preto;SP;MKR
Carrefour Comercio e Industria Ltda;CARREFOUR;Varejo Alimenticio;Filial;Ribeirao Preto;16-623-3646;;16-623-0917;44;Av Cel Fernando F Leite, 1540;Jd California;14026-020;Ribeirao Preto;SP;MKR
Supermercado Gimenes Ltda;SM GIMENES;Varejo Alimenticio;Filial;31;16-3911-4243;;16-3911-4201;15;Av Caramuru, 812;Vl Virginia;14030-000;Ribeirao Preto;SP;MKR
Savegnago Supermercados Ltda;SAVEGNAGO SUPERMERCADOS;Varejo Alimenticio;Filial;06;16-637-0641;;16-637-0641;9;Av Monteiro Lobato, 1335;Vl Virginia;14030-510;Ribeirao Preto;SP;MKR
FRC Materiais de Construcao Ltda;AMODELAR ACABAMENTO;Varejo Outros;Filial;;16-610-8833;;;0;Av Bandeirantes, 1261;Vl Virginia;14030-670;Ribeirao Preto;SP;MKR
Supermercado Gimenes Ltda;SM GIMENES;Varejo Alimenticio;Filial;15;16-633-1333;;16-633-1333;14;Av Antonio e Helena Zerrener, 1500;Sumarezinho;14055-130;Ribeirao Preto;SP;MKR
Carrefour Comercio e Industria Ltda;CARREFOUR;Varejo Alimenticio;Matriz;Ribeirao Preto Norte;16-3977-3400;;16-3941-3037;0;R Municipal, 252;Ipiranga;14055-510;Ribeirao Preto;SP;MKR
Garcia e Mendes Refrigeracao Ltda;GM;Industria Outros;Matriz;;16-633-2989/633-1335;;16-633-2989;0;R Acre, 1003;Ipiranga;14055-660;Ribeirao Preto;SP;MKR
Supermercado Gimenes Ltda;SM GIMENES;Varejo Alimenticio;Filial;12;16-633-5506;;16-633-5506;16;R Acre, 1400;Ipiranga;14055-660;Ribeirao Preto;SP;MKR
Savegnago Supermercados Ltda;SAVEGNAGO SUPERMERCADOS;Varejo Alimenticio;Filial;09;16-622-4436;;16-622-9637;15;R Javari, 4819;Jd Marincek;14061-310;Ribeirao Preto;SP;MKR
Joao Batista Santana S/C Ltda;SM SANTANA;Varejo Alimenticio;Matriz;;16    639-9011;;;0;R Antonio Moreira Vasconcelos, 420;Jose Sampaio;14065-220;Ribeirao Preto;SP;MKR
Mercearia Realves Ltda;SM LOPES SERV;Varejo Alimenticio;Filial;;16   638-2065;;16;0;R Magid Simao Trade, 695;Adelino Simioni;14071000;Ribeirao Preto;SP;MKR
A Olimpica Balachita Ltda;A OLIMPICA;Industria Alimentícia;Matriz;;16-3961-4029/632-411;;16-3961-4029;0;Av Saudade, 1227;Campos Elisios;14080-000;Ribeirao Preto;SP;MKR
Supermercado Gimenes Ltda;SM GIMENES;Varejo Alimenticio;Filial;30;16-3961-2629;;16-3961-2422;15;Av Mal Costa e Silva, 2;Campos Elisios;14080-130;Ribeirao Preto;SP;MKR
Supermercado Gimenes Ltda;SM GIMENES;Varejo Alimenticio;Filial;18;16-618-6661;;16-618-6661;15;R Cap Salomao, 2333;Campos Elisios;14085-430;Ribeirao Preto;SP;MKR
Savegnago Supermercados Ltda;SAVEGNAGO SUPERMERCADOS;Varejo Alimenticio;Filial;13;16-628-0796;;16-628-6229;19;Av Cel Quito Junqueira, 622;Campos Elisios;14085-610;Ribeirao Preto;SP;MKR
Brunetto Massas Me;BRUNETTO MASSAS;Industria Alimentícia;Matriz;;16-3967-68535/6060;;;0;R Itarare, 360;Jd Paulista;14090-070;Ribeirao preto;SP;MKR
IRBO - Ind. de artefatos de Borracha Ltda;IRBO;Industria Outros;Matriz;;16-627-1200;;16-624-1771;0;R Joao Bim, 1225;Jd Paulistano;14090-340;Ribeirao Preto;SP;MKR
Comercial Alimenticia Pulmer;COMERCIAL PULMER;Varejo Alimenticio;Matriz;;16  617-1300;;;0;R Antonio Moises Saad, 235;Pq Indl Lagoinha;14095230;Ribeirao Preto;SP;MKR
Pres Construcoes S/A;PRES;Varejo Outros;Matriz;;16  -  629 - 6202;;16  -  629 - 4853;0;R Dr Hugo Fortes, 1350;;14095-260;Ribeirao Preto;SP;MKR
Supermercado Campos Ltda;SM CAMPOS;Varejo Alimenticio;Matriz;;16-644-1135;;;5;R Armando Ferrarezi, 25;Centro;14120000;Dumont;SP;MKR
Comercial Tres J de Serrana Ltda;SUPERMERCADO TRES J DE SERRANA;Varejo Alimenticio;Filial;;16   687-2773;;16   687-2773;4;R Acre, 388;Jd Bela Vista;14150-000;Serrana;SP;MKR
Silva e More Ltda;SM SOBRADINHO;Varejo Alimenticio;Matriz;;16  3942-6608;;;5;R Atilio Zanini, 409;Jd Alvorada;14160-000;Sertaozinho;SP;MKR
Supermercado Gimenes Ltda;SM GIMENES;Varejo Alimenticio;Filial;06;16-3942-5655;;16-3942-5655;8;Av Jorge Abrao, 525;Shangri-la;14161-170;Sertaozinho;SP;MKR
Savegnago Supermercados Ltda;SAVEGNAGO SUPERMERCADOS;Varejo Alimenticio;Filial;04;16-3942-3832;;16-3942-3832;11;R Washington Luis, 2549;Jd Alvorada;14166-040;Sertaozinho;SP;MKR
Savegnago Supermercados Ltda;SAVEGNAGO SUPERMERCADOS;Varejo Alimenticio;Filial;02;16-3942-4299;;16-3942-4033;14;Av Antonio Paschoal, 620;Centro;14170-000;Sertaozinho;SP;MKR
Supermercado Gimenes Ltda;SM GIMENES;Varejo Alimenticio;Filial;05;16-3942-4177;;16-3942-4944;8;R Luiza Maria T Perticarrari, 654;Sao Joao;14177-000;Sertaozinho;SP;MKR
Savegnago Supermercados Ltda;SAVEGNAGO SUPERMERCADOS;Varejo Alimenticio;Filial;03;16-3942-3016;;16-3942-3306;7;Av Nsa Sra Aparecida, 700;Sao Joao;14177-055;Sertaozinho;SP;MKR
Savegnago Supermercados Ltda;SAVEGNAGO SUPERMERCADOS;Varejo Alimenticio;Filial;05;16-3942-4277;;16-3942-4277;14;Av J Ferreira Fontes, 507;Jd Palmeiras;14177-292;Sertaozinho;SP;MKR
Supermercado Gimenes Ltda;SM GIMENES;Varejo Alimenticio;Filial;Deposito;16-3942-3816;;16-3942-3816;0;R Fioravante Sicchieri, 80/170;Jd Bandeirantes;14177-340;Sertaozinho;SP;MKR
Guilherme Andrucioli Junior;NENE SUPERMERCADO;Varejo Alimenticio;Matriz;;16  6653-1951;;16;0;R Exp Benedito Moreira, 124;Centro;14180000;Pontal;SP;MKR
J Carvalho e Cia Ltda;SUPERMERCADO CARVALHO;Varejo Alimenticio;Matriz;;16   684-1751;;;6;R Simao da Silva Teixeira, 1698;Centro;14200-000;Sao Simao;SP;MKR
Mercocitrico Fermentacoes S/A;TATE & LIFE;Industria Outros;Matriz;;16-654-9000;;16-654-9051;0;Faz  Amalia, s/n;Zona Rural;14270-000;Sta Rosa de Viterbo;SP;MKR
Multbeef Comercial ltda;MULTBEEF;Varejo Alimenticio;Matriz;;16-3664-4041;;;0;R Benjamin Constant, 16;Centro;14340-000;Brodowski;SP;MKR
Supermercado Tres Jotas de Brodowski Ltda;SM TRES JOTAS;Varejo Alimenticio;Matriz;;16-3664-4433;;16-3364-4433;8;Av Dom Luis do Amaral Mousinho, 425;Centro;14340-000;Brodowski;SP;MKR
Industria e Comercio de Doces Flor Mel;FLOR MEL;Industria Alimentícia;Matriz;;16-3727-3646;;16-37278409;0;R Vicente Richino, 301;Polo Industrial SBC;14400-000;Franca;SP;MKR
Savegnago Supermercados Ltda;SAVEGNAGO SUPERMERCADOS;Varejo Alimenticio;Filial;11;16-3721-6611;;16-3721-1427;17;R Saldanha Marinho, 2151;Centro;14400-410;Franca;SP;MKR
Cia Brasileira de Distribuicao;PAO DE ACUCAR - FRANCA;Varejo Alimenticio;Filial;0609;16  3724-0241;;16;0;Av Dr Ismael Alonso Y Alonso, 2901;Sao Jose;14401-426;Franca;SP;MKR
Supermercado Gimenes Ltda;SM GIMENES;Varejo Alimenticio;Filial;29;16-3721-8008;;16-3721-8008;15;R Voluntarios de Franca, 810;Estacao;14405-103;Franca;SP;MKR
Savegnago Supermercados Ltda;SAVEGNAGO SUPERMERCADOS;Varejo Alimenticio;Filial;12;16-3724-5800;;16-3724-7064;15;Av Jose da Silva, 3913;Jd Maria Rosa;14405-391;Franca;SP;MKR
E.A do Nascimento Guaruja ME;E.A. DO NASCIMENTO GUARUJA ME;Varejo Alimenticio;Matriz;;13-3358-1292;;13-3358-1292;0;R Agnelo Xavier, 95;Vl Lygia;14430-200;Guaruja;SP;MKR
Agnaldo Vicente Campos ME;SUPERMERCADO DANIAGRO;Varejo Alimenticio;Matriz;;16-3171-1418;;16-3171-1418;3;R Eliseo Alves Texeira, 340;Centro;14470-000;Pedregulho;SP;MKR
Jose Moyses Cia Ltda;SUPERMERCADO SAO JOSE;Varejo Alimenticio;Matriz;;16  3172-1736;;;0;R Santa Rita, 88;Centro;14540000;Igarapava;SP;MKR
Supermercado Medalha Milagrosa Ltda;PEG MAIS;Varejo Alimenticio;Matriz;;16    3172-1297;;16;4;R Pe Zeferino, 255;Centro;14540000;Igarapava;SP;MKR
Bertanha Comercio de Materiais para Construcao;BERTANHA;Varejo Outros;Matriz;;16 3172-1508;;;0;Pca Rui Barbosa, 100;;14540-000;Igarapava;SP;MKR
Mercearia do Raul Me;MERCEARIA DO RAUL;Varejo Alimenticio;Matriz;;01516   3172-1409;;01516;1;R Saldanha Marinho, 1427;Centro;14540-013;Igarapava;SP;MKR
Carrefour Comercio e Industria Ltda;CHAMPION;Varejo Alimenticio;Filial;Bebedouro;17-3342-5355;;17-3342-5665;16;Av Alan Kardec, 1451;Centro;14700-000;Bebedouro;SP;MKR
Laticinios Catupiry Ltda;LATICINIOS CATUPIRY;Industria Alimentícia;Matriz;;17-3342-1755;;17-3342-1755;0;R Prudente de Moraes, 1;Centro;14700-120;Bebedouro;SP;MKR
Cooperativa dos Caf. e Cit. de Sao Paulo;COOPERCITRUS;Varejo Alimenticio;Matriz;Escritorio;17  3344-3000;;17  3342-7800;0;Pca Br do Rio Branco, 9 CP 231;Centro;14700-129;Bebedouro;SP;MKR
Supermercado Pratao Ltda;SM PRATAO;Varejo Alimenticio;Matriz;;17-3361-1605;;17-3361-1605;6;R Sao Joao, 76;Centro;14730-000;Monte Azul Paulista;SP;MKR
Teixeira & Botter Ltda;BRATAO SUPERMERCADOS;Varejo Alimenticio;Matriz;;17-3361-1605;;17-3361-1605;10;R Sao Joao, 84;Centro;14730-000;Monte Azul Paulista;SP;MKR
Cizotto & Donaire Ltda;SUPERMERCADO DONAIRE;Varejo Alimenticio;Filial;;17-287-1247;;17-287-1463;5;R Severino Sicchieri,141;Centro;14735-000;Severinia;SP;MKR
Cooperativa dos Caf e Cit de Sao Paulo;COOPERCITRUS;Varejo Alimenticio;Filial;30;17-3392-1129;;17-3392-1965;0;R Gabriel Custodio, 362;Centro;14740-000;Viradouro;SP;MKR
Supermercado Gimenes Ltda;SM GIMENES;Varejo Alimenticio;Filial;04;16-3952-1899;;16-3952-1164;8;Pca Sao Sebastiao, 80;Centro;14750-000;Pitangueiras;SP;MKR
Suco Citrico Cutrale Ltda;CUTRALE;Industria Alimentícia;Matriz;;17-3341-1100;;17-3341-1100;0;Rod Brig Faria Lima, Km 409 - CP 21;Zona Rural;14770-000;Colina;SP;MKR
Ind e Com de Carne Minerva Ltda;FRIGORIFICO MINERVA;Industria Alimentícia;Matriz;;17-3321-3398;;;0;Av Antonio Manso Bernardes, s/n;Chac Minerva;14781-545;Barretos;SP;MKR
Cooperativa dos Caf e Cit de Sao Paulo;COOPERCITRUS;Varejo Alimenticio;Filial;21;17-3321-7100;;17-3321-7100;24;Av Centenario da Abolicao, 555;America;14783-195;Barretos;SP;MKR
Carrefour Comercio e Industria Ltda;CHAMPION;Varejo Alimenticio;Filial;Barretos;17-3322-7133;;17-3322-7133;18;Av Prof Roberto Frade Monte, s/n;Jd Marieta;14783-226;Barretos;SP;MKR
Cooperativa dos Caf e Cit de Sao Paulo;COOPERCITRUS;Varejo Alimenticio;Filial;33;17-3331-3499;;17-3331-3588;0;Av Joao Batista Santana, 2120;Centro;14790-000;Guaira;SP;MKR
Usina Acucareira Guaira Ltda;GUAIRA;Industria Alimentícia;Matriz;;17-3331-9027;;17-3331-9030;0;Spv 110 Joaquim Garcia Franco, Km 16 CP 23;;14790-000;Guaira;SP;MKR
Servico Social do Comercio;SESC ARARAQUARA;Prestação Serviços Clubes;Filial;;16  3301-7500;;16;0;R Castro Alves, 1315;Jd Sta Lucia;14800-140;Araraquara;SP;MKR
Supermercado Bombardi Ltda;SM BOMBARDI;Varejo Alimenticio;Matriz;;16-222-2224;;16-222-2224;4;Av Djalma Dutra, 643;Sao Jose;14800-400;Araraquara;SP;MKR
Mercearia Romana de Tupa Ltda;CASTELINHO;Varejo Alimenticio;Matriz;;16  236 - 3411;;16  236 - 3411;0;R Carvalho Filho, 1064;Centro;14801-280;Araraquara;SP;MKR
Dia Livre Confeccoes;DIA LIVRE;Industria Outros;Matriz;;16-222-1363;;;0;R Nove de Julho, 698;Centro;14801-295;Araraquara;SP;MKR
Kampai Perfumaria Ltda;PERFUMARIA EMY;Varejo Outros;Matriz;;16-3303-8922;;;0;Rua 09 de julho ,990;Centro;14801-295;Sao Paulo;SP;MKR
Coml. e Import. Casa Barbarieri S/A;CASA BARBARIERI;Varejo Alimenticio;Matriz;;16- 3222-4200;;16-222-4200;1;R Sao Bento, 622;Centro;14801-300;Araraquara;SP;MKR
Supermercados Jau Serve Ltda;REDE JAU SERVE;Varejo Alimenticio;Filial;16;16-222-0012;;16-222-0012;6;R Humaita, 1480;Centro;14801-385;Araraquara;SP;MKR
Supermercado 14 Ltda;SM 14;Varejo Alimenticio;Matriz;;16  236-9298;;16;5;R dos Libaneses, 2577;Santana;14801-425;Araraquara;SP;MKR
Supermercado Gimenes Ltda;SM GIMENES;Varejo Alimenticio;Filial;23;16-3331-4220;;16-3331-2488;16;R Heitor de Souza Pinheiro, 2270;Pq das Laranjeiras;14801-600;Araraquara;SP;MKR
Supermercados Jau Serve Ltda;REDE JAU SERVE;Varejo Alimenticio;Filial;21;16-235-8542;;16-235-8542;6;R Voluntarios da Patria, 3648;Santa Angelina;14802-205;Araraquara;SP;MKR
Carrefour Comercio e Industria Ltda;CHAMPION;Varejo Alimenticio;Filial;Araraquara;16-222-1066;;16-222-1066;19;Av Miguel Cortez, 50;Vl Suconosa;14807-066;Araraquara;SP;MKR
Suco Citrico Cutrale Ltda;CUTRALE;Industria Alimentícia;Matriz;;16-201-1411;;16-201-1411;0;Av Pe Jose de Anchieta, 470;Vl Melhado;14807-900;Araraquara;SP;MKR
Suco Citrico Cutrale Ltda;CUTRALE;Industria Alimentícia;Filial;;16-201-1100;;16-201-1100;0;Aces Eng Ivo Najm, 3800 - Rod SP 310;Distrito Industrial;14807-900;Araraquara;SP;MKR
Emp. Paulista de Emb. Agroindustriais Ltda;EPEMA;Industria Outros;Matriz;;16-3301-0100;;16-3301-0101;0;R Prof Luis Carlos D T de Camargo, 1019;Jd Regina;14808-116;Araraquara;SP;MKR
Supermercado Paraiso Ltda;SUPERMERCADO PARA?SO;Varejo Alimenticio;Matriz;;16  232-8092;;16;0;R Eng Domingos Ferrari Jr, 514;Pq Cecap;14808212;Araraquara;SP;MKR
Supermercado Ibate Ltda;SUPERMERCADO IBATE;Varejo Alimenticio;Matriz;;16  243-1208;;16;4;R Sao Joao, 1483;Centro;14810000;Ibate;SP;MKR
Supermercado Mariano Ltda;SUPERMERCADO MARIANO;Varejo Alimenticio;Matriz;;16  243-1675;;16;0;R Cons Moreira de Barros, 8;Centro;14810000;Ibate;SP;MKR
Supermercados Jau Serve Ltda;REDE JAU SERVE;Varejo Alimenticio;Filial;17;16-222-6309;;16-222-6309;4;Av Santo Antonio, 590;Vl Xavier;14810-115;Araraquara;SP;MKR
Cooperativa Consumo do Pessoal da Nestle Ltda;COOPERATIVA NESTLE;Varejo Alimenticio;Matriz;;16  222-0297;;;4;Av Joao Batista de Oliveira, 220;Vl Xavier;14810118;Araraquara;SP;MKR
D J Borrachas Ind. e Com. Ltda;D J BORRACHAS;Industria Outros;Matriz;;16-243-2080;;16-243-2080;0;Av Sao Joao, 367;Vl Bandeirantes;14815-000;Ibate;SP;MKR
Amilton Brizolari Materiais p/ Construcao Ltda;ATACADAO DA CONSTRUCAO;Varejo Outros;Matriz;;16;;16;0;R Gentil Prudente Correa, 630;Jd Planalto;14820-000;Americo Brasiliense;SP;MKR
Mercadinho Mercatello Ltda;MERCATELLO;Varejo Alimenticio;Matriz;;16-292-1236;;16-292-2250;4;R Francisco M de Oliveira, 84;Centro;14820-000;Americo Brasiliense;SP;MKR
Dario Pimenta da Rocha;SM PIMENTA;Varejo Alimenticio;Matriz;;16   3251-3279;;16;6;R Sao Martinho, 1164;Garavelo;14840-000;Guariba;SP;MKR
Supermercado Gimenes Ltda;SM GIMENES;Varejo Alimenticio;Filial;11;16-643-1407;;16-643-1407;7;Av Pres Costa e Silva, 404;Centro;14860-000;Barrinha;SP;MKR
Rose Maria Aparecida Fernandes Dedim;SM DEDIM;Varejo Alimenticio;Matriz;;16  3202-5487;;16;0;R Jose Bonifacio, 700;Aparecida;14870000;Jaboticabal;SP;MKR
Supermercado Gimenes Ltda;SM GIMENES;Varejo Alimenticio;Filial;22;17-3202-1177;;17-3202-2164;12;R 24 de Maio, 1111;Centro;14870-000;Jaboticabal;SP;MKR
Adria Alimentos do Brasil Ltda;ADRIA DIV ZABETI;Industria Alimentícia;Matriz;;16-3202-2606;;16-3202-2606;0;Av Mal Deodoro, 1198;Centro;14870-180;Jaboticabal;SP;MKR
Supermercado Gimenes Ltda;SM GIMENES;Varejo Alimenticio;Filial;16;16-3202-1468;;16-3202-1468;15;R Floriano Peixoto, 55;Centro;14870-370;Jaboticabal;SP;MKR
Suco Citrico Cutrale Ltda;CUTRALE;Industria Alimentícia;Matriz;;16-3262-2112;;16-3262-2112;0;Rod Laurentino Mascari Km 176;Cajado;14900-000;Itapolis;SP;MKR
Supermercado Gimenes Ltda;SM GIMENES;Varejo Alimenticio;Filial;28;16-3262-1065;;16-3262-1065;8;R Jose Rossi, 665;Centro;14900-000;Itapolis;SP;MKR
Jose Marcos Tolari ME;SM TOLARI;Varejo Alimenticio;Matriz;;16-285-1564;;16-285-1564;2;R Prudente de Moraes, 646;Centro;14910-000;Tabatinga;SP;MKR
Supermercado Tolari Ltda;SM TOLARI;Varejo Alimenticio;Matriz;;16-285-6183;;16-285-6183;2;R Duque de Caxias, 148;Curupa;14915-000;Tabatinga;SP;MKR
Irmaos Tolari Ltda;SM TOLARI;Varejo Alimenticio;Matriz;;16-287-1113;;16-287-1113;3;R Rodrigues Alves, 245;Centro;14920-000;Nova Europa;SP;MKR
O Boter Cia Ltda;MINI MERCADO SAO VICENTE;Varejo Alimenticio;Matriz;;16-241-3154;;16-241-3154;1;Av Dom Pedro II, 1465;Centro;14940000;Ibitinga;SP;MKR
Supermercado Gimenes Ltda;SM GIMENES;Varejo Alimenticio;Filial;27;16-242-3744;;16-242-3478;8;Av Japao, 550;Jd Centenario;14940-000;Ibitinga;SP;MKR
Supermercados Jau Serve Ltda;REDE JAU SERVE;Varejo Alimenticio;Filial;14;16-242-3659;;16-241-5181;8;Av Carolina G Dall qua, 855;Centro;14940-000;Ibitinga;SP;MKR
A Daher & Cia Ltda;TOME LEVE;Varejo Alimenticio;Filial;;17-222-3007;;17-222-3007;12;R Silva Jardim, 2073;Boa Vista;15010-310;S J do Rio Preto;SP;MKR
